	WORD	CEFR	CLUE
56	accent	a1	['put stress on; utter with an accent', 'intensity or forcefulness of expression', 'a diacritical mark used to indicate stress or placed above a vowel to indicate a special pronunciation', 'the relative prominence of a syllable or musical note (especially with regard to stress or pitch)', 'distinctive manner of oral expression', 'the usage or vocabulary that is characteristic of a specific group of people', 'special importance or significance', 'special emphasis attached to something']
57	accentuer	c1	['put stress on; utter with an accent']
58	acceptable	c1	['worthy of acceptance or satisfactory', 'adequate for the purpose', 'meeting requirements', 'acceptable to the taste or mind', 'judged to be in conformity with approved usage']
59	acceptation	c1	['the act of taking something that is offered', 'the act of accepting with approval; favorable reception', 'a disposition to tolerate or accept people or situations', 'the mental attitude that something is believable and should be accepted as true']
60	accepter	b1	"['tolerate or accommodate oneself to', 'consider or hold as true', 'accept as true or valid', 'be sexually responsive to, used of a female domesticated mammal', 'react favorably to; consider right and proper', 'consent or assent to a condition, or agree to do something', 'give an affirmative reply to; respond favorably to', 'receive (a report) officially, as from a committee', 'receive willingly something given or offered', 'admit into a group or community', ""take on as one's own the expenses or debts of another person"", 'allow participation in or the right to be part of; permit to exercise the rights, functions, and responsibilities of', 'be designed to hold or take']"
61	accessible	c1	['capable of being reached', 'easily obtained', 'capable of being obtained', 'capable of being read with comprehension']
62	accessoire	b1	['associated by chance and not an integral part; - Frederick W. Robertson', 'furnishing added support', 'aiding and abetting in a crime', 'having no beneficial use or incapable of functioning usefully', 'a supplementary component that improves capability', 'clothing that is worn or carried, but not part of your main clothing', 'a small and often standardized accessory to a larger system', 'any movable articles or objects used on the set of a play or movie', 'coil such that current is induced in it by passing a current through the primary coil']
63	accident	a1	['anything that happens suddenly or by chance without an apparent cause', 'an unfortunate mishap; especially one causing damage or injury', 'a serious accident (usually involving one or more vehicles)', 'an instance of misfortune']
64	accidentel	c1	['happening by chance or unexpectedly or unintentionally', 'associated by chance and not an integral part; - Frederick W. Robertson', 'occurring or appearing or singled out by chance', 'a musical notation that makes a note sharp or flat or natural although that is not part of the key signature']
65	acclamation	b1	['enthusiastic approval']
66	acclamer	b1	"['praise vociferously', ""clap one's hands or shout after performances to indicate approval"", 'a demonstration of approval by clapping the hands together']"
67	acclimater	b1	['get used to a certain climate']
68	accolade	a2	['squeeze (someone) tightly in your arms, usually with fondness', 'an appliance that corrects dental irregularities', 'a tangible symbol signifying approval or distinction']
69	accommoder	c1	['adapt or conform oneself to new or different conditions', 'make fit for, or change to suit a new purpose', 'make arrangements for', 'continue to live through hardship or adversity']
70	accompagnement	c1	['the act of accompanying someone or something in order to protect them', 'a musical part (vocal or instrumental) that supports or provides background for other musical parts', 'an event or situation that happens at the same time as or in connection with another', 'the side of military or naval formation']
71	accompagner	a1	['perform an accompaniment to', 'accompany or escort', 'go or travel along with', 'accompany as an escort', 'accompany or escort', 'watch and direct', 'be later in time', 'be present or associated with an event or entity', 'be a companion to somebody']
72	accomplir	b1	"['put up with something or somebody unpleasant', 'pronounce not guilty of criminal charges', 'put in effect', 'carry out or perform an action', 'give a performance (of something)', 'perform a function', 'show respect towards', 'to gain with effort', ""act in accordance with someone's rules, commands, or wishes"", 'get (something) done', 'behave as expected during of holidays or rites', ""conform one's action or practice to"", 'dwell']"
73	accomplissement	c1	['the action of accomplishing something', 'an ability that has been acquired by training']
74	accord	c1	"['(music) calibrating something (an instrument or electronic circuit) to a standard frequency', 'the act of granting rights', 'acting together, as agents or circumstances or events', 'play chords on (a string instrument)', 'compatibility of observations', 'the thing arranged or agreed to', 'the statement (oral or written) of an exchange of promises', 'an agreement between parties (usually arrived at after discussion) fixing obligations of each', 'a written agreement between two states or sovereigns', 'a combination of three or more notes that blend harmoniously when sounded together', 'the verbal act of agreeing', 'agreement of results or opinions', 'concurrence of opinion', 'agreement of opinions', 'an advantageous purchase', 'the determination of grammatical inflection on the basis of word relations', 'verb inflections that express how the action or state is conceived by the speaker', 'a straight line connecting two points on a curve', 'a harmonious state of things in general and of their properties (as of colors and sounds); congruity of parts with one another and with the whole', ""harmony of people's opinions or actions or characters"", 'a state of cooperation', 'wood that is easy to saw (from conifers such as pine or fir)']"
75	accorder	c1	['adjust the pitches of (musical instruments)', 'adjust for (better) functioning', 'adjust or accustom to; bring into harmony with', 'bring into consonance, harmony, or accord while making music or singing', 'bring into consonance or accord', 'accept as inevitable', 'sing a note with the correct pitch', 'convey, as of a compliment, regards, attention, etc.; bestow', 'bestow', 'cause to be in a certain state; cause to be in a certain relation', 'allow to have', 'let have', 'transfer by deed', 'give, especially as an honor or reward', 'give as judged due or on the basis of merit', 'present', 'give as a gift', 'transmit (knowledge or skills)', 'give over; surrender or relinquish to the physical control of another', 'bestow, especially officially']
76	accordéon	b2	['collapse like a concertina', 'a portable box-shaped free-reed instrument; the reeds are made to vibrate by air from the bellows controlled by the player', 'free-reed instrument played like an accordion by pushing its ends together to force air through the reeds', 'coiled barbed wire used as an obstacle']
77	accoter	b1	['establish or strengthen as with new evidence or facts', 'be the physical support of; carry the weight of', 'be behind; approve of', 'support with evidence or authority or make more certain or confirm']
78	accouchement	c1	['undergo the efforts of childbirth', 'strive and make an effort to reach a goal', 'a social class comprising those who do manual labor or work for wages', 'the parturition process in human beings; having a baby; the process of giving birth to a child', 'the process of giving birth', 'concluding state of pregnancy; from the onset of contractions to the birth of a child', 'the time when something begins (especially life)']
79	accoucher	b1	['cause to be born', 'create or produce an idea']
80	accroc	b2	['an unforeseen obstacle', 'an opening made forcibly as by pulling apart', 'a fault or defect in a computer program, system, or machine']
81	accrochage	b2	['a minor short-term fight']
82	accrocher	b1	['adopt', 'cause to be hanging or suspended']
83	accroire	b1	['make bigger or more']
84	accroissement	b1	['the act of increasing (something) in size or volume or quantity or scope', 'the act of increasing the wealth or prestige or power or scope of something', 'a discussion that provides additional information', 'a process of increasing by addition (as to a collection or group)', 'an increase by natural growth or addition', '(geology) an increase in land resulting from alluvial deposits or waterborne sediment', '(astronomy) the formation of a celestial object by the effect of gravity pulling together surrounding objects and gases', 'a process of becoming larger or longer or more numerous or more important']
85	accroître	c1	['make bigger or more', 'grow by addition', 'become bigger or greater in amount', 'increase', 'make better or more attractive', 'become attached by or as if by the process of growth', 'raise in rank or condition', 'add details to', 'push or shove upward, as if from below or behind', 'come into the possession of', 'treat badly']
86	accréditer	c1	['ascribe an achievement to', 'grant credentials to', 'provide or send (envoys or embassadors) with official credentials']
87	accueil	a1	['an animal or plant that nourishes and supports a parasite; it does not benefit and is often harmed by the association', 'archaic terms for army', 'any organization that provides resources and facilities for a function or event']
88	accueillant	a1	['very cordial']
89	accueillir	a1	['be perceived by']
90	accumulation	b2	['the act of accumulating', '(finance) profits that are not paid out as dividends but are added to the capital base of the corporation', 'an increase by natural growth or addition']
91	accumuler	b1	['grow by addition', 'collect or gather', 'grow or become attached by accretion', 'come into the possession of', 'get or gather together']
92	accusateur	b1	['containing or expressing accusation; ; ; - O.Henry', 'someone who imputes guilt or blame']
93	accusation	b1	['attribute responsibility to', '(criminal law) a pleading describing some wrong or offense', 'an assertion that someone is guilty of a fault or offence', 'statements affirming or denying certain matters of fact that you are prepared to prove', 'a public act of denouncing', 'a formal charge of wrongdoing brought against a person; the act of imputing blame or guilt', 'a formal document written for a prosecuting attorney charging a person with some offense', '(law) a formal accusation against somebody (often in a court of law)', 'an accusation of wrongdoing']
94	accuser	b2	['attribute or credit to', 'bring an accusation against; level a charge against', 'blame for, make a claim of wrongdoing or misbehavior against', 'accuse of a wrong or an inadequacy', 'report or maintain', 'call before a court to answer an indictment', 'accuse formally of a crime']
95	accusé	b2	['a defendant in a criminal proceeding']
96	accès	c1	['the act of beginning something new', 'the act of drawing spatially closer to something', 'the act of approaching or entering', 'ideas or actions intended to deal with a problem or situation', 'the act of admitting someone to enter', 'thoroughbred that won the triple crown in 1946', 'a way of entering or leaving', '(computer science) the operation of reading or writing stored information', 'something that provides access (to get in or get out)', 'the temporal property of becoming nearer in time', 'the right to obtain or make use of or take advantage of something (as services or membership)', 'the right to enter', 'an item inserted in a written record', 'something (manuscripts or architectural plans and models or estimates or works of art of all genres etc.) submitted for the judgment of others (as in a competition)', 'a written record of a commercial transaction', 'a period of illness']
97	accéder	c1	['come on stage', 'reach or gain access to', 'take on duties or office', 'allow participation in or the right to be part of; permit to exercise the rights, functions, and responsibilities of']
98	accélérateur	c1	['tending to increase velocity', 'a valve that regulates the supply of fuel to the engine', 'a scientific instrument that increases the kinetic energy of charged particles', 'a pedal that controls the throttle valve', '(chemistry) a substance that initiates or accelerates a chemical reaction without itself being affected']
99	accélération	c1	['the act of accelerating; increasing the speed', 'an increase in rate of change', 'the ratio of the focal length to the diameter of a (camera) lens system', '(physics) a rate of increase of velocity']
100	accélérer	c1	['move faster', 'cause to move faster']
101	acerbe	b2	['marked by strong resentment or cynicism', 'marked by harshly abusive criticism', 'very clearly delineated', 'painful as if caused by a sharp instrument', 'very irritable', 'having or emitting a high-pitched and sharp tone or tones', '(of speech) harsh or hurtful in tone or character', '(of a musical note) raised in pitch by one chromatic semitone', 'harsh or corrosive in tone', 'having a point', 'sour or bitter in taste', 'tasting or smelling like vinegar', 'being sour to the taste']
102	acharnement	b2	['mercilessness characterized by an unwillingness to relent or let up', 'the property of being wild or turbulent', 'a feeling of ill will arousing active hostility', '(classical mythology) the hideous snake-haired monsters (usually three in number) who pursued unpunished criminals']
103	achat	c1	['the acquisition of something for payment', 'the act of buying', 'acquisition of property by descent or by will', 'a course of instruction in a trade (as carpentry or electricity)', 'a formal proposal to buy at a specified price', 'a means of exerting influence or gaining advantage', 'the mechanical advantage gained by being in a position to use a lever', 'something acquired', 'something acquired by purchase', 'an advantageous purchase']
104	acheminement	b1	['a journey or passage']
105	acheminer	c1	['direct the flow of']
106	acheter	a1	['the acquisition of something for payment', 'accept as true', 'obtain by purchase; acquire by means of a financial transaction', 'acquire by trade or sacrifice or exchange', 'take over ownership of; of corporations and companies', 'be worth or be capable of buying', 'a means of exerting influence or gaining advantage', 'the mechanical advantage gained by being in a position to use a lever', 'something acquired by purchase', 'an advantageous purchase']
107	acheteur	b1	['a person who buys', 'someone who visits stores in search of articles to buy']
108	achever	b2	"['cause to finish a relationship with somebody', 'finally be or do something', 'make final; put the last touches on; put into final form', 'come or bring to a finish or an end', 'finish a task completely', 'complete a pass', ""finish eating all the food on one's plate or on the table"", 'fill or stop up', 'complete or carry out', 'have an end, in a temporal, spatial, or quantitative sense; either spatial or metaphorical', 'come to a close']"
109	acide	b1	['go sour or spoil', 'smelling of fermentation or staleness', 'inaccurate in pitch', 'make sour or more sour', 'having a sharp biting taste', 'in an unpalatable state', 'one of the four basic taste sensations; like the taste of vinegar or lemons', 'containing or derived from benzoic acid or benzoin', 'street name for lysergic acid diethylamide', 'the taste experience when vinegar or lemon juice is taken into the mouth', 'a cocktail made of a liquor (especially whiskey or gin) mixed with lemon or lime juice and sugar', 'any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt']
110	acier	c1	['cover, plate, or edge with steel', 'get ready for something difficult or unpleasant', 'knife sharpener consisting of a ridged steel rod', 'a cutting or thrusting weapon that has a long metal blade and a hilt with a hand guard', 'an alloy of iron with small amounts of carbon; widely used in construction; mechanical properties can be varied over a wide range']
111	acompte	c1	['a partial payment made at the time of purchase; the balance to be paid later', 'an amount paid before it is earned']
112	acoustique	c1	['a remedy for hearing loss or deafness', 'of or relating to the science of acoustics', 'incomprehensibility resulting from irrelevant information or meaningless facts or remarks', 'the study of the physical properties of sound']
113	acquisition	c1	['the act of contracting or assuming or acquiring possession of something', 'the acquisition of something for payment', 'acquisition of property by descent or by will', 'a change by sale or merger in the controlling interest of a corporation', 'the cognitive process of acquiring skill or knowledge', 'the mechanical advantage gained by being in a position to use a lever', 'something acquired', 'something added to what you already have', 'something acquired by purchase']
114	acquitter	c1	['pronounce not guilty of criminal charges', 'give money, usually in exchange for goods or services', 'pay someone and settle a debt', 'do or give something to somebody in return', 'render', 'behave in a certain manner']
115	acquéreur	c1	['a person who buys']
116	acquérir	c1	"['gain through experience', 'gain knowledge or skills', 'obtain advantages, such as points, etc.', 'obtain by purchase; acquire by means of a financial transaction', 'come into the possession of something concrete or abstract', 'acquire by trade or sacrifice or exchange', 'come into possession of', 'take over ownership of; of corporations and companies', ""win something through one's efforts"", 'be worth or be capable of buying', 'be valid, applicable, or true', 'locate (a moving entity) by means of a tracking system such as radar']"
117	acrobatie	b1	['the performance of stunts while in flight in an aircraft', 'the gymnastic moves of an acrobat']
118	acrobatique	b1	['vigorously active']
119	acte	c1	['something that people do or cause to happen', 'a legal document codifying the result of deliberations of a committee or society or legislative body', 'a legal document signed and sealed and delivered to effect a transfer of property and to show the legal right to possess it', 'a short theatrical performance that is part of a longer program', 'a subdivision of a play or opera or ballet', 'a manifestation of insincerity', 'an instance of some kind']
120	acteur	c1	['a theatrical performer', 'a person who acts and gets things done', 'a professional performer who tells jokes and performs comical acts', 'an actor in a comedy', 'an entertainer who performs a dramatic or musical work for an audience']
121	actif	c1	"['characterized by energetic activity', 'moving quickly and lightly', 'engaged in full-time work', 'full of activity or engaged in continuous activity', 'very active', 'tending to become more severe or wider in scope', 'disposed to take action or effectuate change', '(of e.g. volcanos) erupting or liable to erupt', '(of e.g. volcanos) capable of erupting', ""(used of verbs (e.g. `to run') and participial adjectives (e.g. `running' in `running water')) expressing action rather than a state of being"", 'expressing that the subject of the sentence has the semantic function of actor:', 'exerting influence or producing a change or effect', '(of the sun) characterized by an increased occurrence of sunspots and flares and radio emissions', 'quick or skillful or adept in action or thought', 'engaged in or accustomed to close observation', 'characterized by liveliness and lightheartedness', 'marked by lively action', 'characterized by energetic bodily activity', 'quick and energetic', 'characterized by forceful and energetic action or activity', 'in operation', 'taking part in an activity', 'engaged in or ready for military or naval operations', 'full of spirit and vitality', '(birds or insects) characterized by or tending to chirp', 'a useful or valuable quality', 'a useful or valuable quality', 'the force of workers available', 'a person who is a participating member of an organization', 'anything of material value or usefulness that is owned by a person or company', 'the voice used to indicate that the grammatical subject of the verb is performing the action or causing the happening denoted by the verb', 'chemical agent capable of activity']"
122	action	c1	"['something done (usually as opposed to something said)', 'the most important or interesting work or activity in a specific area or field', 'the part played by a person in bringing about a result', 'a military engagement', 'a judicial proceeding brought by one party against another; one party prosecutes another for a wrong done or for protection of a right or for prevention of a wrong', 'an act by a government body or supranational organization', 'the operating part that transmits power to a mechanism', 'a line of scalp that can be seen when sections of hair are combed in opposite directions', 'a statute in draft before it becomes law', 'a legal document signed and sealed and delivered to effect a transfer of property and to show the legal right to possess it', 'the difference between the market value of a property and the claims held against it', 'the capital raised by a corporation through the issue of shares entitling holders to an ownership interest (equity)', 'any of the equal portions into which the capital stock of a corporation is divided and ownership of which is evidenced by a stock certificate', ""a certificate documenting the shareholder's ownership in the corporation"", 'a process existing in or produced by nature (rather than by the intent of human beings)', 'the state of being active', 'the state of being in action or exerting power']"
123	actionnaire	c1	['someone who holds shares of stock in a corporation']
124	actionner	b1	['put in motion or move to act']
